Station ID	Station Code	Station name	Year	Month	DisMean_m3s
29612	BUSEDRA	Drammenselva	2019	1	303.481223
29612	BUSEDRA	Drammenselva	2019	2	329.7291381
29612	BUSEDRA	Drammenselva	2019	3	324.3503351
29612	BUSEDRA	Drammenselva	2019	4	337.7279511
29612	BUSEDRA	Drammenselva	2019	5	580.7083259
29612	BUSEDRA	Drammenselva	2019	6	506.6121197
29612	BUSEDRA	Drammenselva	2019	7	193.3902982
29612	BUSEDRA	Drammenselva	2019	8	268.3578027
29612	BUSEDRA	Drammenselva	2019	9	283.7126675
29612	BUSEDRA	Drammenselva	2019	10	379.8639524
29612	BUSEDRA	Drammenselva	2019	11	340.7939329
29612	BUSEDRA	Drammenselva	2019	12	324.2805191
29613	TELESKI	Skienselva	2019	1	294.954276
29613	TELESKI	Skienselva	2019	2	237.4357338
29613	TELESKI	Skienselva	2019	3	268.7378052
29613	TELESKI	Skienselva	2019	4	334.5858538
29613	TELESKI	Skienselva	2019	5	342.4883305
29613	TELESKI	Skienselva	2019	6	293.24204
29613	TELESKI	Skienselva	2019	7	216.5128857
29613	TELESKI	Skienselva	2019	8	302.3960829
29613	TELESKI	Skienselva	2019	9	285.8820373
29613	TELESKI	Skienselva	2019	10	310.9943857
29613	TELESKI	Skienselva	2019	11	155.3397047
29613	TELESKI	Skienselva	2019	12	220.2265151
29614	VAGEOTR	Otra	2019	1	132.9562694
29614	VAGEOTR	Otra	2019	2	149.5702263
29614	VAGEOTR	Otra	2019	3	151.7718468
29614	VAGEOTR	Otra	2019	4	89.51939313
29614	VAGEOTR	Otra	2019	5	102.4245137
29614	VAGEOTR	Otra	2019	6	139.2877176
29614	VAGEOTR	Otra	2019	7	74.37044693
29614	VAGEOTR	Otra	2019	8	130.7642526
29614	VAGEOTR	Otra	2019	9	153.3619466
29614	VAGEOTR	Otra	2019	10	185.1547365
29614	VAGEOTR	Otra	2019	11	189.1511565
29614	VAGEOTR	Otra	2019	12	201.5784253
29615	VESENUM	Numedalsl?en	2019	1	82.12367688
29615	VESENUM	Numedalsl?en	2019	2	88.43945526
29615	VESENUM	Numedalsl?en	2019	3	116.7216868
29615	VESENUM	Numedalsl?en	2019	4	182.9204577
29615	VESENUM	Numedalsl?en	2019	5	181.6980565
29615	VESENUM	Numedalsl?en	2019	6	150.0189231
29615	VESENUM	Numedalsl?en	2019	7	75.38840046
29615	VESENUM	Numedalsl?en	2019	8	83.40089162
29615	VESENUM	Numedalsl?en	2019	9	109.0700426
29615	VESENUM	Numedalsl?en	2019	10	156.2947035
29615	VESENUM	Numedalsl?en	2019	11	84.74798271
29615	VESENUM	Numedalsl?en	2019	12	103.5736377
29617	?STEGLO	Glomma ved Sarpsfoss	2019	1	493.8459889
29617	?STEGLO	Glomma ved Sarpsfoss	2019	2	537.5056284
29617	?STEGLO	Glomma ved Sarpsfoss	2019	3	480.7651359
29617	?STEGLO	Glomma ved Sarpsfoss	2019	4	630.3305087
29617	?STEGLO	Glomma ved Sarpsfoss	2019	5	1347.780034
29617	?STEGLO	Glomma ved Sarpsfoss	2019	6	1636.911396
29617	?STEGLO	Glomma ved Sarpsfoss	2019	7	600.5365174
